PERSONAL INFORMATION,,,,,,,,,,
Name,Dietary Restrictions,Home ,Goals,Collection Date,,,,,,
Friedman's Hell's Kitchen,25,9.2,American,"Hell's Kitchen, Manhattan",$$,7/20/24,Restaurants,,,
Valla Table,26,9.2,Thai,"Hell's Kitchen, Manhattan",$$,8/19/24,Restaurants,,,
Coletta ,27,9.1,"Vegan, Italian, Vegetarian","Kips Bay, Manhattan",$$$,7/30/24,Restaurants,,,
Maki Kosaka,28,9.1,"Japanese, Sushi, Omakase","Midtown, Manhattan",$$$,7/27/24,Restaurants,,,
Boqueria Soho,29,9.0,"Spanish, Tapas","SoHo, Manhattan",$$,3/4/24,Restaurants,,,
Chito Gvrito,30,9.0,Georgian,"Gramercy Park, Manhattan",$$$,10/27/23,Restaurants,,,
The Musket Room,31,9.0,"New Zealand, Global","Nolita, Manhattan",$$$$,6/8/24,Restaurants,,,
Café China,32,8.9,"Chinese, Sichuan","Midtown South, Manhattan",$$$,8/16/23,Restaurants,,,
Pranakhon,33,8.9,Thai,"Greenwich Village, Manhattan",$$$,8/26/23,Restaurants,,,
Pura Vida Miami,34,8.9,"America, Bakery, Café","NoMad, Manhattan",$$,2/18/23,Restaurants,,,
The Blue Dog,35,8.9,American,"Hell's Kitchen, Manhattan",$$,5/12/24,Restaurants,,,
Jazba,36,8.8,Indian,"Ukranian Village, Manhattan",$$$,10/23/24,Restaurants,,,
Kala Ghoda Café,37,8.8,"Global, Contemporary, Café","Mumbai, India",₹₹₹,,Restaurants,,,
Lucali,38,8.7,Pizza,"Carroll Gardens, Brooklyn",$$,2/11/23,Restaurants,,,
Moustache Pitza,39,8.7,Middle Eastern,"South Village, Manhattan",$$,,Restaurants,,,
Swati Snacks,40,8.7,"Indian, Street Food","Mumbai, India",₹₹,,Restaurants,,,
Café Mogador,41,8.6,"Café, Mediterranean, Middle Eastern, Moroccan","Williamsburg, Brooklyn",$$,5/25/24,Restaurants,,,
Canto West Village,42,8.6,Italian,"West Village, Manhattan",$$,10/24/23,Restaurants,,,
Shoo Shoo,43,8.6,"Mediterranean, Israeli, Brunch","Little Italy, Manhattan",$$$,2/2/24,Restaurants,,,
Alta,44,8.5,Mediterranean,"Greenwich Village, Manhattan",$$$,5/31/24,Restaurants,,,
Han Dynasty,45,8.5,"Chinese, Sichuan","East Village, Manhattan",$$,8/29/24,Restaurants,,,
Planta Queen,46,8.5,"Vegan, Sushi, Japanese","NoMad, Manhattan",$$,9/27/23,Restaurants,,,
Singapura,47,8.5,"Singaporean, Southeast Asian","Flatiron District, Manhattan",$$,5/11/24,Restaurants,,,
Vezzo NYC Thin Crust Pizza,48,8.5,"Italian, Pizza","Midtown South, Manhattan",$$,9/21/23,Restaurants,,,
Heng Thai & Rotisserie,49,8.3,"Thai, Gluten Free","College Hill, Providence, RI",$$,7/14/24,Restaurants,,,
Layali Restaurant Bar,50,8.3,Bar,"Downtown Providence, Providence, RI",,,Restaurants,,,
Massimo Ristorante,51,8.3,Italian,"Federal Hill, Providence, RI",$$,,Restaurants,,,
Aleppo Sweets,52,8.2,"Café, Syrian","Fox Point, Providence, RI",$,,Restaurants,,,
Brickway on Wickeden,53,8.2,Breakfast,"Fox Point, Providence, RI",$,,Restaurants,,,
Lan Larb Chiang Mai,54,8.2,Thai,"Little Italy, Manhattan",$$,8/14/23,Restaurants,,,
Murray's Bagels,55,8.2,Bagels,"Greenwich Village, Manhattan",$,2/27/24,Bakeries,,,
Den Den Café Asiana,56,8.1,"Korean, Japanese, Asian","College Hill, Providence, RI",$$,,Restaurants,,,
Xaco Taco,57,8.1,"Taqueria, Mexican","Jewelry District, Providence, RI",$$,,Restaurants,,,
Cecconi's,58,8.0,Italian,"Dumbo, Brooklyn",$$$,4/15/23,Restaurants,,,
GupShup,59,8.0,Indian,"Gramercy Park, Manhattan",$$$,10/13/24,Restaurants,,,
ilili Restaurant,60,8.0,"Lebanese, Mediterranean, Middle Eastern","NoMad, Manhattan",$$$,4/23/24,Restaurants,,,
Lola Taverna,61,8.0,"Greek, Mediterranean","SoHo, Manhattan",$$$,3/19/22,Restaurants,,,
RH Rooftop Restaurant New York,62,8.0,Brunch,"Meatpacking Distrinct, Manhattan",$$$,2/9/23,Restaurants,,,
Avant Garden,63,7.9,"American, Mediterranean, Cocktail Bar","Ukranian Village, Manhattan",$$$,12/14/22,Restaurants,,,
12 Chairs Café,64,7.8,"Israeli, Middle Eastern","SoHo, Manhattan",$$$,9/3/24,Restaurants,,,
Balaboosta,65,7.8,"Middle Eastern, Israeli","West Village, Manhattan",$$$,1/28/24,Restaurants,,,
ilona,66,7.8,Mediterranean,"Roxbury, Boston, MA",$$$,7/13/24,Restaurants,,,
Loring Place,67,7.8,American,"Greenwich Village, Manhattan",$$$,2/11/24,Restaurants,,,
Jack's Wife Freda,68,7.7,"American, Mediterranean, Breakfast","Chelsea, Manhattan",$$,1/27/24,Restaurants,,,
The Butcher's Daughter,69,7.7,Brunch,"Nolita, Manhattan",$$,9/3/23,Restaurants,,,
Catch NYC,70,7.6,"American, Seafood, Sushi","Meatpacking Distrinct, Manhattan",$$$,,Restaurants,,,
The Nutcracker,71,7.6,"American, European","Mumbai, India",₹₹,,Restaurants,,,
Wasabi By Morimoto,72,7.6,Japanese,"Mumbai, India",₹₹₹₹,,Restaurants,,,
Barbounia,73,7.5,Mediterranean,"Midtown, Manhattan",$$$,2/10/24,Restaurants,,,
Frangipani,74,7.5,Italian,"Mumbai, India",,,Restaurants,,,
Yauatcha Mumbai,75,7.5,"Chinese, Dim Sum","G Block BKC, Mumbai, India",,,Restaurants,,,
Champa Thai + Lao Restaurant,76,7.4,"Thai, Laotian","Fox Point, Providence, RI",$,,Restaurants,,,
Cookshop,77,7.4,American,"Chelsea, Manhattan",$$$,5/11/24,Restaurants,,,
Casa Dani,78,7.3,Spanish,"Chelsea, Manhattan",$$$$,2/10/23,Restaurants,,,
Cecconi's Mumbai,79,7.3,Italian,"Mumbai, India",,,Restaurants,,,
Sakagura,80,7.3,Japanese,"Midtown East, Manhattan",$$$,5/3/24,Restaurants,,,
Torrisi,81,7.3,Italian,"Nolita, Manhattan",$$$$,5/24/24,Restaurants,,,
Andino's Italian Restaurant,82,7.2,Italian,"Federal Hill, Providence, RI",$$,,Restaurants,,,
La Pecora Bianca SoHo,83,7.2,Italian,"Nolita, Manhattan",$$$,7/25/24,Restaurants,,,
Bacaro,84,7.1,"Italian, Wine Bar","Providence, RI",$$$,,Restaurants,,,
Gustoso,85,7.1,Lebanese,"Mumbai, India",,,Restaurants,,,
Rue De Liban,86,7.1,Lebanese,"Mumbai, India",,,Restaurants,,,
By The Mekong,87,7.0,"Asian, Thai, Chinese","Mumbai, India",,,Restaurants,,,
CinCin Mumbai,88,7.0,"Italian, Pizza","G Block BKC, Mumbai, India",,,Restaurants,,,
Cream Centre | Phoenix Palladium,89,7.0,Indian,"Mumbai, India",,,Restaurants,,,
"Bastian, Worli",90,6.9,International,"Kamagar Nagar Number 1, Mumbai, India",,,Restaurants,,,
Café Fleur de Lis,91,6.9,"Brunch, Southern, American","Central Business District, New Orleans, LA",,,Restaurants,,,
KOKO Mumbai,92,6.9,"Asian, Asian Fusion","Mumbai, India",,,Restaurants,,,
Desi Galli,93,6.8,Indian,"Rose Hill, Manhattan",$,,Restaurants,,,
La Contenta Oeste,94,6.8,Mexican,"Nolita, Manhattan",$$,,Restaurants,,,
Mag St.,95,6.8,"Asian, Continental, Mediterranean","Mumbai, India",,,Restaurants,,,
Semma,96,6.7,"South Indian, Indian","West Village, Manhattan",$$$,11/10/24,Restaurants,,,
Three Sisters,97,6.7,Ice Cream,"Hope, Providence, RI",$,,Ice Cream & Desserts,,,
Parm Mulberry Street,98,6.6,"American, Italian","Nolita, Manhattan",$$,12/2/23,Restaurants,,,
Ruby's Café - Murray Hill,99,6.4,"Australian, Breakfast, Brunch","Kips Bay, Manhattan",$$,2/28/24,Restaurants,,,
Mamo,100,6.3,"French, Italian","SoHo, Manhattan",$$$,,Restaurants,,,
Ladybird,101,6.2,"Healthy, Tapas, Vegan, Vegetarian","Ukranian Village, Manhattan",$$,,Restaurants,,,
THEP Thai Restaurant,102,6.1,Thai,"Lenox Hill, Manhattan",$$,9/21/24,Restaurants,,,
I Sodi,103,5.9,Italian,"West Village, Manhattan",$$$,3/30/24,Restaurants,,,
Tacombi,104,5.8,"Mexican, Taqueria, Tacos","South Village, Manhattan",$$,8/17/23,Restaurants,,,
Den Den Korean Fried Chicken,105,5.7,Korean,"College Hill, Providence, RI",$$,,Restaurants,,,
Bee's Thai Cuisine,106,5.6,Thai,"Fox Point, Providence, RI",$$,,Restaurants,,,
nicks on broadway,107,5.4,"American, Bistro","Federal Hill, Providence, RI",$$,,Restaurants,,,
Aguardente,108,5.3,"Portugese, Guatemalan","Fox Point, Providence, RI",$$$,,Restaurants,,,
Buddakan,109,5.2,Chinese,"Chelsea, Manhattan",$$$,9/4/23,Restaurants,,,
Zou Zou's,110,5.0,Mediterranean,"Chelsea, Manhattan",$$$,9/8/23,Restaurants,,,
Junoon,111,4.9,"Indian, Mughlai","Flatiron District, Manhattan",$$$$,11/12/23,Restaurants,,,
NAMI,112,4.8,"Japanese, Sushi, Omakase","Federal Hill, Providence, RI",$$,,Restaurants,,,
caspian breakfast and lunch,113,4.7,"Mediterranean, Breakfast, Brunch","Fox Point, Providence, RI",$,,Restaurants,,,
Tea in Sahara,114,4.5,"Moroccon, Café, Tea","Fox Point, Providence, RI",$,,Restaurants,,,
Che Li Manhattan,115,4.4,"Chinese, Shanghainese","Ukranian Village, Manhattan",$$$,,Restaurants,,,
Jacky's Waterplace & Sushi,116,4.4,"Asian, Chinese, Japanese, Sushi","Downtown Providence, Providence, RI",$$,,Restaurants,,,
Debajo,117,4.2,"Bar, Tapas","NoMad, Manhattan",$$$,,Restaurants,,,
Baar Baar,118,4.0,Indian,"Bowery, Manhattan",$$$,11/30/19,Restaurants,,,
Broad Nosh Bagels 42nd Street,119,3.9,Bagels,"Hell's Kitchen, Manhattan",$,3/10/24,Bakeries,,,
Nara Thai BKC,120,3.8,"Indian, Thai","G Block BKC, Mumbai, India",,,Restaurants,,,
Salted Slate,121,3.7,"American, Global, Seafood","Wayland, Providence, RI",$$,,Restaurants,,,
Nai,122,3.5,"Spanish, Tapas","Ukranian Village, Manhattan",$$$,,Restaurants,,,
Pa Pa Ya,123,3.4,Japanese,"Mumbai, India",,,Restaurants,,,
Bellini (Providence),124,2.9,"Cocktail Bar, Italian","Downtown Providence, Providence, RI",$$$,,Restaurants,,,
Tompkin Square Bagels,125,2.5,Bagels,"Ukranian Village, Manhattan",$$,,Bakeries,,,
The District,126,2.0,"American, Burgers, Pizza","Jewelry District, Providence, RI",$$,,Restaurants,,,
AperiBar,127,1.5,Cocktail Bar,"Theater District, Manhattan",$$,,Restaurants,,,
Toloache,128,1.0,Mexican,"Theater District, Manhattan",$$,2/23/24,Restaurants,,,
OLIO E PIU,129,0.6,Italian,"West Village, Manhattan",$$$,9/22/24,Restaurants,,,
